,0,1,2
0,73,73,73
1,68,68,68
2,51,51,51
3,4,4,4
4,0,0,0
5,0,0,0
6,0,0,0
7,0,0,0
8,1,1,1
9,71,71,71
10,84,84,84
11,88,88,88
12,88,88,88
13,88,88,88
14,0,0,0
15,0,0,0
16,0,0,0
17,18,18,18
18,0,0,0
19,0,0,0
20,3,3,3
21,109,109,109
22,97,97,97
23,106,106,106
24,111,111,111
25,114,114,114
26,95,95,95
27,98,98,98
28,114,114,114
29,97,97,97
30,110,110,110
31,100,100,100
32,0,0,0
33,100,100,100
34,97,97,97
35,115,115,115
36,104,104,104
37,0,0,0
38,84,84,84
39,88,88,88
40,88,88,88
41,88,88,88
42,0,0,0
43,0,0,0
44,0,0,0
45,17,17,17
46,0,0,0
47,0,0,0
48,3,3,3
49,109,109,109
50,105,105,105
51,110,110,110
52,111,111,111
53,114,114,114
54,95,95,95
55,118,118,118
56,101,101,101
57,114,114,114
58,115,115,115
59,105,105,105
60,111,111,111
61,110,110,110
62,0,0,0
63,48,48,48
64,0,0,0
65,84,84,84
66,88,88,88
67,88,88,88
68,88,88,88
69,0,0,0
70,0,0,0
71,0,0,0
72,28,28,28
73,0,0,0
74,0,0,0
75,3,3,3
76,99,99,99
77,111,111,111
78,109,109,109
79,112,112,112
80,97,97,97
81,116,116,116
82,105,105,105
83,98,98,98
84,108,108,108
85,101,101,101
86,95,95,95
87,98,98,98
88,114,114,114
89,97,97,97
90,110,110,110
91,100,100,100
92,115,115,115
93,0,0,0
94,105,105,105
95,115,115,115
96,111,111,111
97,54,54,54
98,109,109,109
99,112,112,112
100,52,52,52
101,49,49,49
102,0,0,0
103,84,84,84
104,65,65,65
105,76,76,76
106,66,66,66
107,0,0,0
108,0,0,0
109,0,0,0
110,11,11,11
111,0,0,0
112,0,0,0
113,3,3,3
114,65,65,65
115,117,117,117
116,100,100,100
117,105,105,105
118,111,111,111
119,84,84,84
120,114,114,114
121,105,105,105
122,109,109,109
123,0,0,0
124,84,84,84
125,73,73,73
126,84,84,84
127,50,50,50
128,0,0,0
129,0,0,0
130,0,0,0
131,40,40,40
132,0,0,0
133,0,0,0
134,3,3,3
135,82,82,82
136,105,105,105
137,99,99,99
138,107,107,107
139,32,32,32
140,82,82,82
141,111,111,111
142,108,108,108
143,108,108,108
144,101,101,101
145,100,100,100
146,32,32,32
147,45,45,45
148,32,32,32
149,77,77,77
150,101,101,101
151,109,109,109
152,101,101,101
153,32,32,32
154,65,65,65
155,69,69,69
156,84,84,84
157,114,114,114
158,105,105,105
159,109,109,109
160,49,49,49
161,54,54,54
162,48,48,48
163,50,50,50
164,48,48,48
165,53,53,53
166,52,52,52
167,53,53,53
168,53,53,53
169,48,48,48
170,57,57,57
171,49,49,49
172,57,57,57
173,0,0,0
174,84,84,84
175,83,83,83
176,83,83,83
177,69,69,69
178,0,0,0
179,0,0,0
180,0,0,0
181,15,15,15
182,0,0,0
183,0,0,0
184,3,3,3
185,76,76,76
186,97,97,97
187,118,118,118
188,102,102,102
189,53,53,53
190,53,53,53
191,46,46,46
192,51,51,51
193,51,51,51
194,46,46,46
195,49,49,49
196,48,48,48
197,48,48,48
198,0,0,0
199,0,0,0
200,0,0,0
201,0,0,0
202,0,0,0
203,0,0,0
204,0,0,0
205,0,0,0
206,0,0,0
207,0,0,0
208,0,0,0
209,255,255,255
210,251,251,251
211,176,176,176
212,0,0,0
213,0,0,0
214,0,0,0
215,0,0,0
216,0,0,0
217,0,0,0
218,0,0,0
219,0,0,0
220,0,0,0
221,0,0,0
222,0,0,0
223,0,0,0
224,0,0,0
225,0,0,0
226,0,0,0
227,0,0,0
228,0,0,0
229,0,0,0
230,0,0,0
231,0,0,0
232,0,0,0
233,0,0,0
234,0,0,0
235,0,0,0
236,0,0,0
237,0,0,0
238,0,0,0
239,0,0,0
240,0,0,0
241,0,0,0
242,0,0,0
243,0,0,0
244,0,0,0
245,73,73,73
246,110,110,110
247,102,102,102
248,111,111,111
249,0,0,0
250,0,0,0
251,0,0,0
252,7,7,7
253,0,0,0
254,0,0,0
255,0,0,0
256,241,241,241
257,0,0,0
258,2,2,2
259,80,80,80
260,166,166,166
261,0,0,0
262,4,4,4
263,6,6,6
264,9,9,9
265,11,11,11
266,14,14,14
267,16,16,16
268,19,19,19
269,22,22,22
270,24,24,24
271,27,27,27
272,29,29,29
273,31,31,31
274,34,34,34
275,37,37,37
276,40,40,40
277,42,42,42
278,44,44,44
279,47,47,47
280,49,49,49
281,52,52,52
282,55,55,55
283,58,58,58
284,60,60,60
285,62,62,62
286,65,65,65
287,67,67,67
288,70,70,70
289,72,72,72
290,75,75,75
291,78,78,78
292,80,80,80
293,83,83,83
294,85,85,85
295,87,87,87
296,90,90,90
297,93,93,93
298,96,96,96
299,98,98,98
300,100,100,100
301,103,103,103
302,105,105,105
303,108,108,108
304,111,111,111
305,114,114,114
306,116,116,116
307,118,118,118
308,121,121,121
309,123,123,123
310,126,126,126
311,129,129,129
312,131,131,131
313,134,134,134
314,136,136,136
315,139,139,139
316,141,141,141
317,143,143,143
318,147,147,147
319,149,149,149
320,152,152,152
321,154,154,154
322,157,157,157
323,159,159,159
324,161,161,161
325,165,165,165
326,167,167,167
327,170,170,170
328,172,172,172
329,174,174,174
330,177,177,177
331,179,179,179
332,183,183,183
333,185,185,185
334,187,187,187
335,190,190,190
336,192,192,192
337,195,195,195
338,197,197,197
339,199,199,199
340,203,203,203
341,205,205,205
342,208,208,208
343,210,210,210
344,213,213,213
345,215,215,215
346,217,217,217
347,221,221,221
348,223,223,223
349,226,226,226
350,228,228,228
351,230,230,230
352,233,233,233
353,235,235,235
354,239,239,239
355,241,241,241
356,243,243,243
357,246,246,246
358,248,248,248
359,251,251,251
360,253,253,253
361,76,76,76
362,97,97,97
363,118,118,118
364,102,102,102
365,53,53,53
366,53,53,53
367,46,46,46
368,51,51,51
369,51,51,51
370,46,46,46
371,49,49,49
372,48,48,48
373,48,48,48
374,0,0,0
375,0,0,0
376,0,0,0
377,0,0,0
378,0,0,0
379,0,0,0
380,0,0,0
381,0,0,0
382,0,0,0
383,0,0,0
384,0,0,0
385,0,0,0
386,0,0,0
387,0,0,0
388,0,0,0
389,0,0,0
390,0,0,0
391,0,0,0
392,0,0,0
393,0,0,0
394,0,0,0
395,0,0,0
396,0,0,0
397,0,0,0
398,0,0,0
399,0,0,0
400,0,0,0
401,0,0,0
402,0,0,0
403,0,0,0
404,0,0,0
405,0,0,0
406,0,0,0
407,0,0,0
408,0,0,0
409,0,0,0
410,0,0,0
411,0,0,0
412,0,0,0
413,0,0,0
414,0,0,0
415,0,0,0
416,0,0,0
417,0,0,0
418,0,0,0
419,0,0,0
420,0,0,0
421,0,0,0
422,0,0,0
423,0,0,0
424,0,0,0
425,0,0,0
426,0,0,0
427,0,0,0
428,0,0,0
429,0,0,0
430,0,0,0
431,0,0,0
432,0,0,0
433,0,0,0
434,0,0,0
435,0,0,0
436,0,0,0
437,0,0,0
438,0,0,0
439,0,0,0
440,0,0,0
441,0,0,0
442,0,0,0
443,0,0,0
444,0,0,0
445,0,0,0
446,0,0,0
447,0,0,0
448,0,0,0
449,0,0,0
450,0,0,0
451,0,0,0
452,0,0,0
453,0,0,0
454,0,0,0
455,0,0,0
456,0,0,0
457,0,0,0
458,0,0,0
459,0,0,0
460,0,0,0
461,0,0,0
462,0,0,0
463,0,0,0
464,0,0,0
465,0,0,0
466,0,0,0
467,0,0,0
468,0,0,0
469,0,0,0
470,0,0,0
471,0,0,0
472,0,0,0
473,0,0,0
474,0,0,0
475,0,0,0
476,0,0,0
477,0,0,0
478,0,0,0
479,0,0,0
480,0,0,0
481,0,0,0
482,0,0,0
483,0,0,0
